1723923365.038196 server started (12774): version 3.4, socket /private/tmp/tmux-501/default, protocol 8
1723923365.038233 on Darwin 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:30 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T6030
1723923365.038240 using libevent 2.1.12-stable select
1723923365.038247 using utf8proc 2.9.0
1723923365.038252 using ncurses 6.5 20240427
1723923365.038378 input_key_build: 0x10e003 (PasteStart) is \033[200~
1723923365.038389 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1723923365.038403 input_key_build: 0x10e195 (F1) is \033OP
1723923365.038408 input_key_build: 0x10e196 (F2) is \033OQ
1723923365.038412 input_key_build: 0x10e197 (F3) is \033OR
1723923365.038416 input_key_build: 0x10e198 (F4) is \033OS
1723923365.038420 input_key_build: 0x10e199 (F5) is \033[15~
1723923365.038424 input_key_build: 0x10e19a (F6) is \033[17~
1723923365.038430 input_key_build: 0x10e19b (F7) is \033[18~
1723923365.038436 input_key_build: 0x10e19c (F8) is \033[19~
1723923365.038441 input_key_build: 0x10e19d (F9) is \033[20~
1723923365.038445 input_key_build: 0x10e19e (F10) is \033[21~
1723923365.038449 input_key_build: 0x10e19f (F11) is \033[23~
1723923365.038453 input_key_build: 0x10e1a0 (F12) is \033[24~
1723923365.038456 input_key_build: 0x10e1a1 (IC) is \033[2~
1723923365.038460 input_key_build: 0x10e1a2 (DC) is \033[3~
1723923365.038464 input_key_build: 0x10e1a3 (Home) is \033[1~
1723923365.038468 input_key_build: 0x10e1a4 (End) is \033[4~
1723923365.038471 input_key_build: 0x10e1a5 (NPage) is \033[6~
1723923365.038475 input_key_build: 0x10e1a6 (PPage) is \033[5~
1723923365.038483 input_key_build: 0x10e1a7 (BTab) is \033[Z
1723923365.038488 input_key_build: 0x10e1a8 (Up) is \033[A
1723923365.038492 input_key_build: 0x10e1a9 (Down) is \033[B
1723923365.038496 input_key_build: 0x10e1aa (Left) is \033[D
1723923365.038500 input_key_build: 0x10e1ab (Right) is \033[C
1723923365.038503 input_key_build: 0x10e1ac (KP/) is /
1723923365.038507 input_key_build: 0x10e1ad (KP*) is *
1723923365.038515 input_key_build: 0x10e1ae (KP-) is -
1723923365.038519 input_key_build: 0x10e1af (KP7) is 7
1723923365.038523 input_key_build: 0x10e1b0 (KP8) is 8
1723923365.038527 input_key_build: 0x10e1b1 (KP9) is 9
1723923365.038531 input_key_build: 0x10e1b2 (KP+) is +
1723923365.038535 input_key_build: 0x10e1b3 (KP4) is 4
1723923365.038539 input_key_build: 0x10e1b4 (KP5) is 5
1723923365.038543 input_key_build: 0x10e1b5 (KP6) is 6
1723923365.038550 input_key_build: 0x10e1b6 (KP1) is 1
1723923365.038554 input_key_build: 0x10e1b7 (KP2) is 2
1723923365.038557 input_key_build: 0x10e1b8 (KP3) is 3
1723923365.038561 input_key_build: 0x10e1b9 (KPEnter) is \n
1723923365.038565 input_key_build: 0x10e1ba (KP0) is 0
1723923365.038571 input_key_build: 0x10e1bb (KP.) is .
1723923365.038577 input_key_build: 0x200000000009 (C-Tab) is \t
1723923365.038580 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1723923365.038584 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1723923365.038588 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1723923365.038592 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1723923365.038596 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1723923365.038616 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1723923365.038627 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1723923365.038632 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1723923365.038639 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1723923365.038648 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1723923365.038796 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1723923365.038815 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1723923365.038824 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1723923365.038829 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1723923365.038837 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1723923365.038842 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1723923365.038848 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1723923365.038854 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1723923365.038868 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1723923365.038871 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1723923365.038874 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1723923365.038877 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1723923365.038884 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1723923365.038887 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1723923365.038890 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1723923365.038897 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1723923365.038900 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1723923365.038903 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1723923365.038906 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1723923365.038909 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1723923365.038911 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1723923365.038913 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1723923365.038916 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1723923365.038918 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1723923365.038921 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1723923365.038923 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1723923365.038926 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1723923365.038928 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1723923365.038931 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1723923365.038934 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1723923365.038936 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1723923365.038939 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1723923365.038941 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1723923365.038944 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1723923365.038946 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1723923365.038949 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1723923365.038952 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1723923365.038956 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1723923365.038963 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1723923365.038967 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1723923365.038970 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1723923365.038973 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1723923365.038978 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1723923365.038985 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1723923365.038989 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1723923365.039007 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1723923365.039014 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1723923365.039018 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1723923365.039020 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1723923365.039023 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1723923365.039026 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1723923365.039029 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1723923365.039031 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1723923365.039034 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1723923365.039037 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1723923365.039040 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1723923365.039042 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1723923365.039045 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1723923365.039049 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1723923365.039052 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1723923365.039054 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1723923365.039057 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1723923365.039060 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1723923365.039062 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1723923365.039065 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1723923365.039073 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1723923365.039076 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1723923365.039079 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1723923365.039081 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1723923365.039084 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1723923365.039087 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1723923365.039090 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1723923365.039093 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1723923365.039097 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1723923365.039099 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1723923365.039103 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1723923365.039106 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1723923365.039109 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1723923365.039112 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1723923365.039115 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1723923365.039118 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1723923365.039121 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1723923365.039125 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1723923365.039129 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1723923365.039133 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1723923365.039137 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1723923365.039140 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1723923365.039144 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1723923365.039148 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1723923365.039151 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1723923365.039154 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1723923365.039159 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1723923365.039162 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1723923365.039166 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1723923365.039169 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1723923365.039173 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1723923365.039177 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1723923365.039180 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1723923365.039183 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1723923365.039187 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1723923365.039191 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1723923365.039194 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1723923365.039198 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1723923365.039201 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1723923365.039205 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1723923365.039209 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1723923365.039213 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1723923365.039217 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1723923365.039220 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1723923365.039224 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1723923365.039228 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1723923365.039231 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1723923365.039235 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1723923365.039238 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1723923365.039242 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1723923365.039245 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1723923365.039249 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1723923365.039252 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1723923365.039256 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1723923365.039259 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1723923365.039268 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
